compound,solvent,MW,Emi,set,Emi_eV
F[B-]1(F)n2c(nc(-c3ccccc3)c2-c2ccccc2)-c2cccc[n+]21,CCCCCC,345.12488,515.0,train,2.407378640776699
O=Cc1ccc2ccc3cccc4ccc1c2c34,CCCCCC,230.07316,386.0,train,3.211917098445596
Clc1nc(Nc2ccccc2)nc(Nc2ccc3cc4ccccc4cc3c2)n1,C1COCCO1,397.10942,436.0,train,2.843577981651376
C[Si]1(C)O[Si](C)(C)c2cc3nc4ccccc4c(-c4ccccc4)c3cc2[Si](C)(C)O1,ClCCl,459.15061,501.0,train,2.4746506986027943
CCCCCCCCCCCCOc1cc2cc(N(C)C)ccc2cc1C=C(C#N)C#N,CC#N,431.29366,613.0,train,2.0225122349102773
Oc1ccc2ncccc2c1,ClCCl,145.05276,354.0,train,3.5022598870056494
COc1ccc(-c2nc3c(c4c2-c2ccccc2CC4)-c2ccccc2CC3)cc1,CCCCCC,389.17796,408.0,train,3.0387254901960783
Cc1cc(C(F)(F)F)nc2c1ccc1nc(-c3ccc(F)c(F)c3)cn12,c1ccccc1,363.07949,450.0,train,2.755111111111111
COc1ccc(C2=[N+]3C(=Nc4c(C)cc(-c5ccc(OC)cc5)n4[B-]3(F)F)C(C)=C2)cc1,CS(C)=O,433.17731,692.0,train,1.7916184971098266
CC1(C)Nc2cc(Cl)ccc2-c2[nH]c3ccccc3c(=O)c21,CO,310.08729,513.0,train,2.416764132553606
CCN(CC)c1ccc2c(c1)oc(=O)c1c(C)nc3c(c(-c4ccccc4)nn3C)c12,C1CCCCC1,412.18993,421.111,train,2.944116871798647
COc1cccc(-n2c(-c3ccccc3)nc(C)c2C)c1,ClCCl,278.14191,364.0,train,3.406043956043956
Nc1cc2oc3cc(O)c(F)cc3c(=O)c2cc1F,CCO,263.0394,425.0,train,2.917176470588235
CCn1c2ccccc2c2c3nsnc3c3c4ccccc4n(CC)c3c21,ClCCl,370.12522,497.0,train,2.49456740442656
CO[B-]1(OC)n2c(C)cc(C)c2C(c2ccc(I)cc2)=C2C(C)=CC(C)=[N+]21,ClC(Cl)Cl,474.09756,517.5988741968249,train,2.395291144950495
O=C1c2ccccc2S(=O)(=O)c2ccc(-n3c4ccccc4c4ccccc43)cc21,ClC(Cl)Cl,409.07726,595.5,train,2.081947942905121
c1ccc2[nH]c(-c3cc(-c4nc5ccccc5[nH]4)cc(-c4nc5ccccc5[nH]4)c3)nc2c1,CS(C)=O,426.15929,379.1,train,3.270377209179636
COc1cc(OC)c2c(c1)C(=O)c1cc(OC)cc(OC)c1-2,C1CCCCC1,300.09977,585.0,train,2.1193162393162392
CN(C)c1ccc(C2=Cc3ccc4ccccc4[n+]3[B-](F)(F)O2)cc1,C1COCCO1,338.1402,516.0,train,2.4027131782945736
COc1ccc2c3cccc4c(OC)ccc(c5cccc1c52)c43,Cc1ccccc1,312.11503,465.994247458377,train,2.6605478646187364
F[B-]1(F)OC(c2ccc3c(c2)Cc2ccccc2-3)=CC(c2ccccc2)=[O+]1,CC#N,360.11332,491.0,train,2.525050916496945
CN(C)c1ccc2nc(-c3ccc(C=O)cc3)sc2c1,C1CCCCC1,282.08268,444.0,train,2.792342342342342
COc1ccc(C(=O)NN2C3=C(CC4=C2CCCC4=O)C(=O)CCC3)cc1,ClCCl,366.15796,439.0,train,2.824145785876993
CCCCCCN1C(=O)c2cccc3c(-c4cccs4)ccc(c23)C1=O,ClC(Cl)Cl,363.1293,465.0,train,2.6662365591397847
CN(C)c1ccc(C#Cc2ccccc2)cc1,CC(C)O,221.12045,365.0034675329416,train,3.39668006
O=S(=O)([O-])c1cc([O-])c2ccc3c(S(=O)(=O)[O-])cc(S(=O)(=O)[O-])c4ccc1c2c34,CO,453.9145,509.00946757609694,train,2.43571108
CCOC(=O)c1ccc(N(C)C)cc1,CC#N,193.11028,501.923076923,train,2.470099616858616
CCN(CC)c1ccc2c(-c3ccccc3C(=O)[O-])c3ccc(=[N+](CC)CC)cc-3oc2c1,CN(C)C=O,442.22564,588.0,train,2.108503401360544
CCCCCCOc1cc(C=C(C#N)C#N)c(OCCCCCC)cc1C=C(C#N)C#N,C1COCCO1,430.23688,564.0,train,2.1982269503546097
CN(C)c1ccc(-c2cc3ccc([N+](=O)[O-])cc3c(=O)o2)cc1,CCOC(C)=O,310.09536,621.0,train,1.9964573268921093
CCN(CC)c1ccc2c(C(F)(F)F)cc(=O)oc2c1,CCN(CC)c1ccccc1,285.09766,455.0,train,2.7248351648351647
O=c1oc2ccccc2cc1-c1ccc([N+](=O)[O-])cc1,CS(C)=O,267.05316,425.0,train,2.917176470588235
CCN(CC)c1ccc2cc(-c3nc4ccccc4s3)c(=O)oc2c1,CCOCC,350.1089,473.0,train,2.6211416490486257
COc1ccc2n1[B-](F)(F)[N+]1=C(c3ccccc3)C=CC1=C2c1ccc(C)cc1,C1COCCO1,388.15585,556.0,train,2.2298561151079137
CC1=CC(C)=[N+]2C1=Cc1c(C)cc(C)n1[B-]2(F)F,CN(C)C=O,248.12964,513.0,train,2.416764132553606
CN(C)c1cc(C#N)c(N(C)C)c(C#N)c1,C1COCCO1,214.12185,521.6484089723526,train,2.3766966
CCCCCCN1C(=O)c2cccc3c(-c4ccc(Cl)s4)ccc(c23)C1=O,ClC(Cl)Cl,397.09033,482.0,train,2.572199170124481
O=Cc1ccc(-c2cccc(-c3nc4ccccc4s3)c2O)s1,Cc1ccccc1,337.02312,578.0,train,2.144982698961938
COc1ccccc1C1=C2C=CC(=[N+](C)C)C=C2[Si](C)(C)c2cc(N(C)C)ccc21,O,415.22002,663.0,train,1.8699849170437408
C=Cc1cc2cc3c(cc2oc1=O)OCO3,CC#N,216.04226,448.0,train,2.767410714285714
CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1cccs1,ClCCl,361.18642,368.0,train,3.3690217391304347
N#CC(C#N)=Cc1ccc(-c2ccc(-c3nc4ccccc4s3)c(O)c2)s1,CC#N,385.03435,529.0,train,2.343667296786389
F[B-]1(F)n2c(cc3c4ccccc4oc32)C(c2ccccc2)=C2C=c3c(oc4ccccc34)=[N+]21,CCOC(C)=O,448.11946,596.5,train,2.0784576697401507
O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CCOC(C)=O,309.09766,501.0,train,2.4746506986027943
CN(C)c1ccc2c(c1)C(=O)NC2=O,CO,190.07423,534.0,train,2.3217228464419475
Cc1ccc(-n2c(-c3ccccc3O)nc(-c3ccccc3O)c2-c2ccccc2O)cc1,CO,434.16304,438.0,train,2.830593607305936
F[B-]1(F)n2c(nc(-c3ccccc3)c2-c2ccccc2)-c2cccc[n+]21,CCCCCC,345.12488,510.0,train,2.4309803921568625
C1=C(c2ccc(-c3cccs3)s2)CCC1,C1CCOC1,232.03804,413.0,train,3.0019370460048425
Cc1ccc(C2=C(c3ccc(C)cc3)c3cccc4c3c(cc3nc5ccccc5nc34)O2)cc1,ClCCl,450.17321,559.0,train,2.2178890876565296
COc1cc(C#Cc2ccccc2)c(C#Cc2ccccc2)cc1OC,CC#N,338.13068,380.0,train,3.262631578947368
c1ccc(-c2c3ccccc3c(-c3ccccc3)c3ccccc23)cc1,C1CCCCC1,330.14085,430.0,train,2.8832558139534883
CCN(CC)c1ccc2ccc(=O)oc2c1,CCO,217.11028,452.0,train,2.7429203539823006
[O-]c1ccccc1-c1[nH+]c2c3cccnc3c3ncccc3c2n1-c1ccccc1,ClCCl,388.13241,484.0,train,2.561570247933884
[C-]#[N+]c1ccc(-c2ccc(NC)cc2)cc1,C1CCCCC1,208.10005,368.0,train,3.3690217391304347
COc1ccc2c(=O)c3c([nH]c2c1)-c1cc(Cl)ccc1NC3(C)C,CS(C)=O,340.09786,511.0,train,2.4262230919765164
CN(C)c1nc(N)nc2c1nc(C#N)n2Cc1ccccc1,ClCCl,293.13889,375.0,train,3.3061333333333334
F[B-]1(F)n2cccc2C(c2ccccc2)=C2C=CC(N3CCOCC3)=[N+]21,ClCCl,353.1511,553.0,train,2.2419529837251355
COCCOCCOCCOc1cc(C=O)c(OCCOCCOCCOC)cc1C=O,CO,458.2152,467.0,train,2.6548179871520343
COC(=O)c1cc(=O)n(Cc2ccccc2)c2cc(-c3ccc(N(C)C)cc3)sc12,CC#N,418.13511,610.0,train,2.0324590163934424
CCN(CC)c1ccc2cc(-c3cc(SC)c(C#N)c(=O)o3)c(=O)oc2c1,CC(C)=O,382.09873,573.0,train,2.16369982547993
Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,CC#N,229.03506,465.0,train,2.6662365591397847
O=c1cc(COc2ccc(I)cc2)c2c(ccc3ccccc32)o1,ClCCl,427.99094,418.0,train,2.966028708133971
O=Cc1cc(O)c(C=O)cc1O,CCO,166.02661,491.0,train,2.525050916496945
CS(=O)(=O)c1ccc(-c2cc3ccc(N)cc3c(=O)o2)cc1,CO,315.05653,473.0,train,2.6211416490486257
COc1ccc(-c2cc3c4c(c2)CCc2cc(-c5ccc(OC)cc5)cc(c2-4)CC3)cc1,ClCCl,418.19328,391.075268817,train,3.1702337091025634
CC1=CC(C)=[N+]2C1=C(c1c3ccccc3c(C)c3ccccc13)c1c(C)cc(C)n1[B-]2(F)F,Cc1ccccc1,438.20789,517.0,train,2.398065764023211
CC1CC=C(c2ccc(-c3ccc(C=O)s3)s2)CC1,CCCCCC,288.06426,445.0,train,2.786067415730337
COc1cc(N(c2ccccc2)c2ccccc2)ccc1C=C(C#N)C#N,Cc1ccccc1,351.13716,525.0,train,2.3615238095238094
COCCOc1cc(C=O)c(OCCOC)cc1C=O,CNC=O,282.11034,450.0,train,2.755111111111111
Nc1nc2ccc(F)cc2[n+]([O-])n1,O,180.04474,526.0,train,2.357034220532319
CCN1C(=O)C(C2C(=O)c3c4ccccc4cc4cc5ccccc5c2c34)C(=O)N(CC)C1=S,CCCCCC,466.13511,544.0,train,2.2790441176470586
c1ccc(Nc2ccc3ccccc3n2)cc1,CCOC(C)=O,220.10005,415.28,train,2.9854555962242344
Cc1nc(-c2cc(F)ccc2O)n2c1CCCC2,ClCCl,246.11684,464.0,train,2.6719827586206897
F[B-]1(F)n2c(Nc3cccc4cccnc34)ccc2C(c2ccccc2)=C2C=CC(Cl)=[N+]21,CC#N,444.11246,580.0,train,2.137586206896552
Cc1ccc(C2=C3C=CC(Cl)=[N+]3[B-](F)(F)n3c(Cl)ccc32)cc1,CS(C)=O,350.03604,521.0,train,2.379654510556622
c1cc2sc3ccsc3c2s1,ClCCl,195.94751,335.0,train,3.70089552238806
CN(C)c1ccc2c(c1)C(C)(C)C1=CC(=[N+](C)C)C=CC1=C2,O,293.20123,621.0,train,1.9964573268921093
Cc1n[nH]c2c1C(c1ccc([N+](=O)[O-])cc1)C(C#N)=C(N)O2,CCOC(C)=O,297.08619,396.0,train,3.1308080808080807
CC1=CC(C)=[N+]2C1=Cc1c3ccccc3c(C#Cc3ccsc3)n1[B-]2(F)F,CCCCCC,376.10171,615.0,train,2.015934959349593
CC1(C)c2ccccc2N(c2ccc(-c3cccc(C#N)c3)cc2)c2ccccc21,Cc1ccccc1,386.1783,431.0,train,2.876566125290023
Cc1cc(=O)oc2c3c4c(cc12)CCCN4CCC3,O,255.12593,489.0,train,2.535378323108384
C1=C(c2ccccc2)B(c2ccccc2)Nc2c1ccc1ccccc21,C1CCCCC1,331.15323,396.0,train,3.1308080808080807
CN(C)c1ccc2cc3c(cc2c1)OCCN=C3,CN(C)C=O,240.12626,442.0,train,2.8049773755656107
O=C1C=C(Nc2ccccc2)CCC1,O,187.09971,380.0,train,3.262631578947368
CCN(CC)c1ccc(OC)c(C=O)c1,ClCCl,207.12593,538.0,train,2.304460966542751
Cc1ccc(N2C(c3ccccc3N)=NC(c3ccccc3)C2c2ccccc2)cc1,CO,403.20485,407.0,train,3.0461916461916463
CN(C)c1cc(-c2ccccc2)cc2cc(C#Cc3ccncc3)ccc12,ClCCl,348.16265,526.0,train,2.357034220532319
COCCOc1cc(C=O)c(OCCOC)cc1C=O,CO,282.11034,466.0,train,2.6605150214592275
CN(C)c1cc(C#N)c(N(C)C)c(C#N)c1,CCCOCCC,214.12185,507.6142131979696,train,2.442406
CC1CCC(O)(c2ccc(-c3cccs3)s2)CC1,CCO,278.07991,406.0,train,3.053694581280788
COc1ccccc1-c1nc2c3ccccc3c3ccccc3c2o1,Cc1ccccc1,325.11028,368.0,train,3.3690217391304347
c1ccc2cc3c(cc2c1)-c1cccc2c1c-3cc1ccccc12,CCCCCCC,302.10955,401.0,train,3.0917705735660848
CC(C)(C)c1ccc2c(c1)sc1[n+]2[B-](F)(F)n2c(c3cccc4cccc2c43)=N1,CCCCCC,405.12826,504.0,train,2.4599206349206346
Cc1cc(N(C)C)ccc1C1=C2C=CC(=[N+](C)C)C=C2[Si](C)(C)c2cc(N(C)C)ccc21,O,442.2673,663.0,train,1.8699849170437408
CC(C)(C)c1ccc2c(c1)sc1[n+]2[B-](F)(F)n2c(c3cccc4cccc2c43)=N1,ClCCl,405.12826,505.0,train,2.455049504950495
Cc1cc(C2=C(c3cc(C)sc3C)S(=O)(=O)c3ccccc32)c(C)s1,ClC(Cl)Cl,386.04689,473.0,train,2.6211416490486257
N#CC(C#N)=Cc1ccc(-c2cccc(-c3nc4ccccc4s3)c2O)s1,Cc1ccccc1,385.03435,612.0,train,2.025816993464052
c1ccc(-c2nc(-c3ccc(-c4cncc5ccccc45)cc3)[nH]c2-c2ccccc2)cc1,C1CCOC1,423.17355,442.0,train,2.8049773755656107
N#Cc1nn(-c2ccccc2Cl)nc1N1CCCC1,CC#N,273.07812,426.0,train,2.9103286384976523
CCOC(=O)c1ccccc1-c1c2ccc(=[N+](CC)CC)cc-2oc2c1oc1cc(N)ccc12,CCO,455.19653,640.0,train,1.9371875
Fc1ccc(-c2cc3ccc4cc(-c5ccc(F)cc5)cc5ccc(c2)c3c45)cc1,CCO,390.12201,408.835143139,train,3.032518169746674
CC(C)c1ccc2ccc3cccc4ccc1c2c34,CO,244.1252,376.0,train,3.2973404255319148
CN(C)c1ccc2nc(-c3ccccc3)sc2c1,CC(C)O,254.08777,488.0324543610548,train,2.5404048212801325
c1ccc(-c2nc(-c3ccccn3)[se]c2N(c2ccccc2)c2ccccc2)cc1,ClC(Cl)Cl,453.07442,498.0,train,2.489558232931727
CCCSc1ccc2n1[B-](F)(F)[N+]1=C(SC#N)C=CC1=C2c1ccccc1,CO,399.08468,563.0,train,2.202131438721137
O=c1c2cc(F)c(N3CCCCC3)cc2sc2cc(N3CCCCC3)c(F)cc12,CCO,414.15774,487.0,train,2.545790554414784
CC(C)(C)c1ccc2ccc3c(C(C)(C)C)ccc4ccc1c2c43,CCCCCC,314.20345,379.0,train,3.271240105540897
Cc1cn2cc(-c3ccccc3)[n-][n+]2c1,ClCCl,197.0953,422.0,train,2.937914691943128
COC(=O)c1nc(-c2ccccc2)oc1C,C1CCCCC1,217.07389,297.0,train,4.174410774410775
CC1CC=C(c2ccc(-c3ccc(C#N)s3)s2)CC1,OCCOCCO,285.06459,451.0,train,2.7490022172949
COC(=O)c1nc2c(N)nc(N(C)C)nc2n1Cc1ccccc1,ClCCl,326.14912,409.0,train,3.031295843520782
CSc1cc(-c2cc3cc4c5c(c3oc2=O)CCCN5CCC4)oc(=O)c1C#N,CC#N,406.09873,603.0,train,2.0560530679933664
O=S(=O)([O-])c1ccc2c(O)cc(S(=O)(=O)[O-])cc2c1,O,301.95659,385.0,train,3.22025974025974
CC1(C)c2ccccc2-c2cc3c(cc21)c1ccccc1n3-c1cccnc1,ClCCl,360.16265,373.0,train,3.323860589812332
CCCCCOc1cc2oc(=O)c3c4ccc(O)cc4c4ccc5cccc6c(c1)c2c3c4c56,C1CCOC1,446.15181,459.0,train,2.7010893246187364
N#Cc1cccc2cc[nH]c12,CC(C)O,142.0531,380.0,train,3.262631578947368
c1ccc2cc(-n3c4ccccc4c4ccccc43)ccc2c1,CCO,293.12045,379.0,train,3.271240105540897
COc1nc(Cl)nc(Nc2ccc3c4c(cccc24)C(=O)c2ccccc2-3)n1,CCOC(C)=O,388.0727,520.0208008320333,train,2.3841354
O=c1c2ccccc2nc2n1[B-](F)(F)[n+]1ccccc1-2,ClCCl,271.07285,441.0,train,2.811337868480725
COc1ccc(OC)c(C=O)c1,CCCO,166.06299,458.0,train,2.7069868995633186
COc1c2ccccc2c(-c2ccccc2)c2ccccc12,OCCO,284.12012,426.0,train,2.9103286384976523
N#Cc1c(-c2ccccc2)cc(-c2ccccc2)[nH]c1=S,ClC(Cl)(Cl)Cl,288.07212,510.0,train,2.4309803921568625
N#Cc1cc(-c2ccc(F)cc2)cnc1O,CCO,214.05424,425.0,train,2.917176470588235
N#Cc1cccc(N)c1,OCC(F)(F)F,118.0531,380.0,train,3.262631578947368
CC1CC=C(c2ccc(-c3ccc(C=O)s3)s2)CC1,CCO,288.06426,500.0,train,2.4796
CCC1=C(C)C2=Cc3ccccc3B(O)N2C1=O,ClC(Cl)Cl,239.11176,418.0,train,2.966028708133971
CCN(CC)c1ccc2ccc(=O)oc2c1,c1ccccc1,217.11028,395.0,train,3.138734177215189
CCN(CC)c1ccc2c(c1)oc(=O)c1cnc3c(cnn3-c3ccccc3)c12,CC#N,384.15863,454.782,train,2.726141316059123
O=S(=O)([O-])c1ccc(O)c2ccccc12,CN(C)C=O,223.00705,366.0,train,3.387431693989071
c1ccc2cc(-n3cnc4ccccc43)ccc2c1,C1CCOC1,244.10005,374.0,train,3.314973262032085
Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,CCCN(CCC)c1ccccc1,229.03506,414.0,train,2.994685990338164
[C-]#[N+]c1ccc(-c2ccc(N)cc2)cc1,CO,194.0844,419.0,train,2.958949880668257
c1ccc(-c2c3ccccc3c(-c3ncccn3)c3ccccc23)cc1,ClCCl,332.13135,442.0,train,2.8049773755656107
C1=CN2C[n+]3cccc(OCc4ccccc4)c3N=C2C(OCc2ccccc2)=C1,CO,396.17065,487.0,train,2.545790554414784
N#Cc1cccc(N)c1,O,118.0531,392.0,train,3.162755102040816
CN(C)c1cc(-c2ccc(C#Cc3ccncc3)cc2)cc2ccccc12,CCO,348.16265,411.739130435,train,3.011129883842127
Cc1ccc(C2=C3C=C(I)C=[N+]3[B-](F)(F)n3cccc32)cc1,C1CCCCC1,408.01063,540.0,train,2.2959259259259257
CCCSC1=[N+]2C(=C(c3ccccc3)c3ccc(SCCC)n3[B-]2(F)F)C=C1,CC#N,416.13638,587.0,train,2.112095400340716
O=c1c2ccccc2sc2ccccc12,CC(C)(C)O,212.02959,418.0,train,2.966028708133971
CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21,CCCCCCCCCO,283.08201,492.9994084007099,train,2.51481032
COc1ccc(OC)c(C=O)c1,CS(C)=O,166.06299,431.0,train,2.876566125290023
CCCCCCCCN1c2ccc(C#Cc3ccc(OC)cc3)cc2Sc2cc(C=O)ccc21,C1CCOC1,469.20755,512.0,train,2.421484375
c1csc(-c2c3ccc(=[N+]4CCCCC4)cc-3oc3cc(N4CCCCC4)ccc23)c1,ClCCl,429.19951,603.0,train,2.0560530679933664
Nc1cccc2ncccc12,Cc1ccccc1,144.06875,449.0003008302015,train,2.7612453660000003
N#Cc1c(N2CCCCC2)cc(-c2ccc3ccccc3c2)c2c1Cc1ccccc1-2,C1CCOC1,400.19395,465.0,train,2.6662365591397847
c1ccc(-c2nn(-c3ccccc3)c3nc4ccccc4cc23)cc1,C1CCCCC1,321.1266,443.6557231588287,train,2.7945092
F[B-]1(F)OC(c2ccccc2)=CC(c2ccccc2)=[O+]1,CC#N,272.08202,400.0,train,3.0995
O=c1oc2cc3ccccc3cc2nc1-c1ccccc1,CC#N,273.07898,538.0,train,2.304460966542751
c1ccc(-n2nc(-c3ccc(N4c5ccccc5Oc5ccccc54)cc3)nc2-c2ccccn2)cc1,ClCCl,479.17461,425.928,train,2.910820608177908
N#Cc1ccc2c(c1)CCc1nc(-c3ccc([N+](=O)[O-])cc3)c3c(c1-2)CCc1cc(C#N)ccc1-3,CO,454.14298,475.0,train,2.6101052631578945
Cc1ccc([B-]2(c3ccc(C)cc3)n3nc(C(F)(F)F)cc3-c3c4ccccc4cc[n+]32)cc1,ClCCl,455.17806,407.0,train,3.0461916461916463
O=CC1=C(c2ccc(-c3cccs3)s2)CC1,CCCCCC,246.01731,464.0,train,2.6719827586206897
F[B-]1(F)n2cccc2C(c2c3ccccc3cc3ccccc23)=C2C=CC=[N+]21,CC#N,368.12964,519.0,train,2.3888246628131022
COCCOc1cc(C=O)c(OCCOC)cc1C=O,CCO,282.11034,464.0,train,2.6719827586206897
CN1CCCc2cc3c(C(F)(F)F)cc(=O)oc3cc21,c1ccccc1,283.08201,474.0,train,2.6156118143459914
CCNc1cc2oc(=O)cc(C)c2cc1C,Cc1ccccc1,217.11028,408.0,train,3.0387254901960783
Nc1ccc2c(C(F)(F)F)cc(=O)oc2c1,C1CCCCC1,229.03506,403.0,train,3.076426799007444
CCCCCCN1C(=O)c2cccc3c(-c4ccc(-c5cccs5)s4)ccc(c23)C1=O,ClC(Cl)Cl,445.11702,534.0,train,2.3217228464419475
O=C(Cc1ccccc1)OCc1ccc2c3cccc4cccc(c5cccc1c52)c43,CCO,400.14633,445.0,train,2.786067415730337
CN(C)CCNCc1c2ccccc2cc2ccccc12,C1CCOC1,278.1783,413.0,train,3.0019370460048425
COc1ccc2c(-c3nc(-c4cccc(Br)c4)no3)cc(=O)oc2c1,CCO,397.99022,466.0,train,2.6605150214592275
Cc1c2ccncc2c(C)c2c1[nH]c1ccccc12,CN(C)C=O,246.1157,425.0,train,2.917176470588235
CCc1c(C)[nH]c(C2=[N+]3C(=Cc4c(C)c(CC)c(C)n4[B-]3(F)F)c3ccccc32)c1C,CO,419.23443,642.0,train,1.9311526479750776
CCN(CC)c1ccc2cc(-c3nc4ccccc4s3)c(=O)oc2c1,Cc1ccccc1,350.1089,498.0,train,2.489558232931727
CCC1=C(C)C2=Cc3c4ccccc4c4n3[B-](c3ccncc3)(Oc3ccccc3-4)[N+]2=C1C,Cc1ccccc1,429.20124,639.0,train,1.9402190923317684
CCCSc1ccc2n1[B-](F)(F)[N+]1=C(SC#N)C=CC1=C2c1ccccc1,CC#N,399.08468,567.0,train,2.186596119929453
CCN(CC)c1ccc2nc3c4ccccc4c(=O)cc-3oc2c1,C1COCCO1,318.13683,574.0,train,2.15993031358885
Fc1ccc(C2=NC(c3ccccc3)C(N(c3ccccc3)c3ccccc3)S2)cc1,ClC(Cl)Cl,424.14095,461.0,train,2.6893709327548807
Nc1ccc(O)c(C(=O)[O-])c1,O,152.03532,493.0,train,2.514807302231237
Cc1ccc2occ(CC(=O)NN)c2c1,CO,204.08988,400.0,train,3.0995
F[B-]1(F)n2cccc2C(c2c3ccccc3c(-c3ccccc3)c3ccccc23)=C2C=CC=[N+]21,CC#N,444.16094,524.0,train,2.366030534351145
F[B-]1(F)n2c(c3ccccc3c2-c2ccccc2)N=C2c3ccccc3C(c3ccccc3)=[N+]21,Cc1ccccc1,445.15618,726.0,train,1.7077134986225897
Cc1cc(-c2ccccc2C)cc(C)[o+]1,CC#N,199.11174,518.0,train,2.3934362934362934
CC(=O)Nc1cccc2c1C#Cc1c(cccc1C(=O)N(C)C)OCCCO2,CC#N,378.15796,394.0,train,3.146700507614213
O=c1cc(C(F)(F)F)c2cc3c4c(c2o1)CCCN4CCC3,CC#N,309.09766,515.0,train,2.407378640776699
